ISBN;Titulo;Data de Lancamento;Autor;Editora;Idioma;Estante;Estado; Valor de Venda ;Estoque;Valor de compra;Data de cadastro de entrada;Data de Cadastro Plataforma;Vendido?
9788579490552;Navegações e Regressos Capa dura;01/01/2012; Pablo Neruda;Folha de São Paulo;Português;Letra do autor;Usado; R$ 20,00 ;1; R$ 6,67 ;12/11/2025;Verificar estoque;
9788543101279;De volta ao mosteiro: O monge e o executivo falam de liderança e trabalho em equipe Capa comum;28/07/2014;James C. Hunter ;Editora Sextante;Português;Emprrendedorismo;Usado; R$ 30,00 ;1; R$ 10,00 ;12/11/2025;Verificar estoque;
9781405811309;Logman Dictionary Of Contemporary English Up - Não acompanha o CD  Capa comum;01/01/2005; Longman;Pearson Education;Inglês;Sessão Inglês;Usado; R$ 40,00 ;1; R$ 13,33 ;12/11/2025;29/11/2025;
9788575564066;12-Maquiavel - o Principe Capa comum ;01/01/2008;Escala;Escala editora;Português;Emprrendedorismo;Usado; R$ 25,00 ;1; R$ 8,33 ;12/11/2025;Verificar estoque;
9788575567685;A Gaia Ciencia  Capa comum;01/01/2008;Nietzsche ;Escala editora;Português;Letra do autor;Usado; R$ 25,00 ;1; R$ 8,33 ;12/11/2025;Verificar estoque;
9788573026443;Amor é prosa, sexo é poesia Capa comum ;06/11/2004; Arnaldo Jabor;Objetiva;Português;Sessão poesia;Usado; R$ 25,00 ;1; R$ 8,33 ;12/11/2025;Verificar estoque;
9788596022606;A onça e o coelho Capa comum ;01/01/2020;Monteiro Lobato;FTD;Português;Letra do autor paradidático;Usado; R$ 28,00 ;1; R$ 9,33 ;20/11/2025;20/11/2025;
9788576160694;Enciclopédia dos Cavaleiros Do Zodíaco Capa dura;09/07/2018; Masami Kurumada;Conrad;Português;Mangá;Usado; R$ 278,00 ;1; R$ 92,67 ;20/11/2025;06/12/2025;
9788580412406;A redenção de Gabriel: 3 Capa comum;27/12/2013; Sylvain Reynard;Editora Arqueiro;Português;Romance Quente;Usado; R$ 40,00 ;1; R$ 13,33 ;20/11/2025;06/12/2025;
9788580411263;O inferno de Gabriel: 1 Capa comum;25/01/2013; Sylvain Reynard;Editora Arqueiro;Português;Romance Quente;Usado; R$ 20,00 ;1; R$ 6,67 ;20/11/2025;06/12/2025;
9788580411850;O julgamento de Gabriel: 2 Capa comum;28/06/2013; Sylvain Reynard;Editora Arqueiro;Português;Romance Quente;Usado; R$ 35,00 ;1; R$ 11,67 ;20/11/2025;06/12/2025;
9788565765985;Felizes Para Sempre. Cia Capa comum;15/08/2018;Kiera Cass;Seguinte;Português;Romance antigo;Usado; R$ 35,00 ;1; R$ 11,67 ;20/11/2025;06/12/2025;
9788535925340;A Escolha Capa comum ;15/08/2018;Kiera Cass;Seguinte;Português;Romance antigo;Usado; R$ 35,00 ;1; R$ 11,67 ;20/11/2025;06/12/2025;
9788535922332;A elite (A Seleção Livro 2) Capa comum;12/04/2013;Kiera Cass;Seguinte;Português;Romance antigo;Usado; R$ 35,00 ;1; R$ 11,67 ;20/11/2025;06/12/2025;
9788535920932;A seleção Capa comum;21/05/2012;Kiera Cass;Seguinte;Português;Romance antigo;Usado; R$ 35,00 ;1; R$ 11,67 ;20/11/2025;06/12/2025;
9788535926019;A Sereia Capa comum;25/01/2016;Kiera Cass;Seguinte;Português;Romance antigo;Usado; R$ 35,00 ;1; R$ 11,67 ;20/11/2025;06/12/2025;
9788555340055;A Herdeira (A Seleção Livro 4) Capa comum;05/05/2015;Kiera Cass;Seguinte;Português;Romance antigo;Usado; R$ 35,00 ;1; R$ 11,67 ;20/11/2025;06/12/2025;
9788555340093;A Coroa (A Seleção Livro 5) Capa comum;03/05/2016;Kiera Cass;Seguinte;Português;Romance antigo;Usado; R$ 35,00 ;1; R$ 11,67 ;20/11/2025;06/12/2025;
9788528103007;Através do Espelho e o que Alice encontrou por lá Capa dura ;01/01/1997;Lewis Carroll ;Livraria José Olympio Editora;Português;Letra do autor;Usado; R$ 35,00 ;1; R$ 11,67 ;20/11/2025;06/12/2025;
9788532252111;Viagens Gastronomicas Atraves Da Historia Capa comum ;01/01/2004;caloca fernandes;Senac SP;Português;Culinária;Usado; R$ 45,00 ;1; R$ 15,00 ;20/11/2025;06/12/2025;
9788506084052;A Menina Que Odiava Livros Capa comum ;04/05/2018; Manjusha Pawagi e  Shelanne Graham ;Melhoramentos;Português;Letra do autor;Usado; R$ 35,00 ;1; R$ 11,67 ;20/11/2025;06/12/2025;
9788574061610;O Menino que Aprendeu a Ver Capa comum ;19/08/1997;Ruth Rocha ;Quinteto;Português;Letra do autor;Usado; R$ 35,00 ;1; R$ 11,67 ;20/11/2025;06/12/2025;
9788532220455;Meu Livro de Ouro das Fábulas Capa dura;01/01/2000;Diversos Autores;FTD;Português;Letra do autor;Usado; R$ 50,00 ;1; R$ 16,67 ;20/11/2025;06/12/2025;
9788526206013;O Livro Do Papai Capa comum ;01/01/1987;Todd Parr;Scipione;Português;Letra do autor;Usado; R$ 35,00 ;1; R$ 11,67 ;20/11/2025;06/12/2025;
9788582710104;Especialista em Pessoas: Soluções Práticas para Lidar com Outros Capa comum;22/03/2013;Tiago Brunet;Sextante;Português;Sessão auto ajuda;Usado; R$ 35,00 ;1; R$ 11,67 ;20/11/2025;06/12/2025;
9788528103007;Aventuras de Alice no País das Maravilhas Capa dura ;01/01/1997;Lewis Carroll ;Livraria José Olympio Editora;Português;Letra do autor;Usado; R$ 35,00 ;1; R$ 11,67 ;20/11/2025;06/12/2025;
9786555110197;O Assassinato no Expresso do Oriente - Edicao de Luxo Capa dura;30/06/2020;Agatha Christie;HarperCollins;Português;Letra do autor;Usado; R$ 45,00 ;1; R$ 15,00 ;20/11/2025;06/12/2025;
9788574063997;Onde Vivem os Monstros Capa comum;11/09/2009;Maurice Sendak;Cosac Naify;Português;Sessão Infantil;Usado; R$ 45,00 ;1; R$ 15,00 ;20/11/2025;06/12/2025;
